"";"internacao";"amq";"consulta";"domiciliar";"emergencia";"honorario";"material";"medicamento";"nulo";"pacote";"remocao";"sadt";"taxa"
"1";"n";"20110602";NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
"2";"n";"20110801";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"n";"20110802";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"n";"20111002";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"n";"20111101";NA;NA;NA;NA;NA;NA;NA;NA;NA;9;NA
"6";"n";"20111102";1;NA;NA;1;NA;NA;NA;NA;NA;16;NA
"7";"n";"20111201";3;NA;NA;NA;NA;NA;NA;NA;NA;24;NA
"8";"n";"20111202";4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"n";"20120101";NA;NA;NA;4;NA;NA;NA;NA;NA;NA;1
"10";"n";"20120102";6;NA;NA;3;NA;NA;NA;NA;NA;NA;NA
"11";"n";"20120201";4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"12";"n";"20120202";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"n";"20120301";NA;NA;NA;1;NA;NA;NA;NA;NA;NA;1
"14";"n";"20120302";2;NA;NA;2;NA;116;NA;NA;NA;NA;1
"15";"n";"20120401";1;NA;NA;6;NA;NA;NA;NA;NA;4;NA
"16";"n";"20120402";1;NA;NA;3;NA;NA;NA;1;NA;NA;NA
"17";"n";"20120501";2;NA;NA;6;NA;NA;NA;NA;NA;NA;NA
"18";"n";"20120502";2;NA;NA;NA;NA;NA;NA;1;NA;NA;NA
"19";"n";"20120602";1;NA;NA;NA;NA;116;NA;NA;NA;NA;NA
"20";"n";"20120701";3;NA;NA;6;NA;NA;NA;NA;NA;NA;NA
"21";"n";"20120702";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"n";"20120801";2;NA;NA;NA;NA;163;NA;NA;NA;NA;NA
"23";"n";"20120802";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"24";"n";"20120901";4;NA;NA;2;106;33;NA;NA;NA;NA;NA
"25";"n";"20120902";5;NA;NA;3;NA;NA;NA;NA;NA;NA;NA
"26";"n";"20121001";4;NA;NA;NA;2;1;NA;2;NA;NA;NA
"27";"n";"20121002";6;NA;NA;4;3;1;NA;6;NA;NA;1
"28";"n";"20121101";3;NA;NA;NA;NA;31;NA;13;NA;NA;NA
"29";"n";"20121102";5;NA;NA;1;NA;240;NA;NA;NA;NA;2
"30";"n";"20121201";2;NA;NA;2;9;8;NA;NA;NA;1;1
"31";"n";"20121202";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"n";"20130101";1;NA;NA;NA;5;14;NA;NA;NA;7;NA
"33";"n";"20130102";2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA
"34";"n";"20130201";1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
"35";"n";"20130202";1;NA;9;NA;NA;6;NA;4;NA;1;NA
"36";"n";"20130301";2;NA;11;8;2;45;NA;NA;NA;37;5
"37";"n";"20130302";2;NA;13;3;20;68;NA;1;NA;NA;4
"38";"n";"20130401";6;NA;NA;5;NA;3;NA;1;NA;26;2
"39";"n";"20130402";7;NA;NA;9;2;NA;NA;2;NA;4;5
"40";"n";"20130501";4;NA;NA;NA;NA;NA;NA;NA;NA;45;NA
"41";"n";"20130502";7;NA;7;6;NA;4;NA;NA;NA;41;3
"42";"n";"20130601";2;NA;48;28;48;3;NA;NA;NA;26;44
"43";"n";"20130602";1;NA;31;18;80;NA;NA;1;NA;31;38
"44";"n";"20130701";2;NA;5;6;27;11;NA;4;NA;6;3
"45";"n";"20130702";5;NA;10;60;NA;3;NA;12;2;582;2
"46";"n";"20130801";67;NA;26;89;18;2;NA;11;1;993;7
"47";"n";"20130802";87;NA;35;98;46;243;NA;17;2;1084;7
"48";"n";"20130901";227;NA;20;176;164;307;NA;26;5;2681;32
"49";"n";"20130902";422;NA;43;386;330;279;NA;48;2;2667;59
"50";"n";"20131001";866;NA;53;1435;1963;9083;NA;119;741;10318;427
"51";"n";"20131002";1687;NA;119;2219;1741;9821;NA;230;9;42867;562
"52";"n";"20131101";2175;NA;268;4296;1953;12630;NA;294;32;59984;644
"53";"n";"20131102";3442;NA;1046;5207;3905;13805;1;479;1214;72976;666
"54";"n";"20131201";8387;NA;1072;7889;7405;19749;NA;1608;1853;121377;1327
"55";"n";"20131202";12285;NA;10805;12375;16061;32895;NA;2722;3231;141495;2773
"56";"n";"20140101";60454;NA;21558;40478;33578;77975;NA;10563;10889;398407;6486
"57";"n";"20140102";80846;NA;22816;58111;48888;101756;NA;14911;11962;574700;8547
"58";"n";"20140201";68003;NA;20012;51584;34024;70698;NA;13380;8829;508490;7324
"59";"n";"20140202";56617;NA;18037;43493;31142;75641;NA;11199;8482;403645;6549
"60";"n";"20140301";47766;NA;20011;34636;23456;51299;NA;10047;13941;347848;5682
"61";"n";"20140302";79946;NA;24665;57367;43938;83777;NA;15072;12518;538169;8708
"62";"n";"20140401";76806;NA;23218;56775;38279;70458;NA;15100;13636;540023;8661
"63";"n";"20140402";51063;NA;20623;39523;28946;57470;NA;10306;9265;348856;6455
"64";"n";"20140501";70006;NA;22541;51888;29916;81857;NA;13722;8269;480238;7676
"65";"n";"20140502";68856;NA;23730;55426;33699;76951;NA;14661;8902;486237;8163
"66";"n";"20140601";65000;NA;21591;50001;31116;75876;NA;13585;12595;412468;7535
"67";"n";"20140602";37277;NA;20463;30733;17810;68735;NA;8265;21410;274347;5494
"68";"n";"20140701";71209;NA;22734;47541;27268;84127;NA;13674;10679;479753;7391
"69";"n";"20140702";86779;NA;25083;63191;39142;101090;NA;17086;19577;571268;9409
"70";"n";"20140801";76507;NA;23147;58724;28986;91307;NA;15842;11783;536798;8772
"71";"n";"20140802";70898;NA;24963;56356;24096;85411;NA;15021;19952;500253;8407
"72";"n";"20140901";74809;NA;23928;57955;23378;91061;NA;15113;13120;510202;9302
"73";"n";"20140902";72501;NA;23899;56305;25771;86630;NA;15531;16708;486628;8837
"74";"n";"20141001";75575;NA;23273;58488;26702;99984;NA;16133;19826;518283;9577
"75";"n";"20141002";78483;NA;25333;61508;23867;99734;NA;16754;17114;524493;10001
"76";"n";"20141101";69228;NA;21627;54439;16659;94101;NA;14535;16714;488623;8538
"77";"n";"20141102";64035;NA;20685;52705;24842;94573;NA;13493;15179;446839;8152
