"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI";"IMI_nDi";"DIF";"PRC_DIF"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";0,533333333333333;0,258620689655172;0,446154143475572;0,615740740740741;0,463462226801205;0,531742739183215;-0,0682805123820107;-14,7327027821188
"2";"10001018004P4";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";0,822222222222222;0,8125;0,451680672268908;0,524652777777778;0,652763918067227;0,599518557422969;0,0532453606442578;8,15690928535271
"3";"10001018005P0";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,333333333333333;0,329545454545455;0,544642857142857;0,500980392156863;0,427125509294627;0,459652194211018;-0,0325266849163908;-7,61525224051982
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";0,666666666666667;0,458333333333333;0,791666666666667;0,43525641025641;0,587980769230769;0,631196581196581;-0,0432158119658119;-7,34986826564912
"5";"10001018009P6";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,433333333333333;0,403846153846154;0,553571428571429;0,425555555555556;0,454076617826618;0,470820105820106;-0,016743487993488;-3,68737066304552
"6";"10001018010P4";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,466666666666667;0,424657534246575;0,6;0,44047619047619;0,482950097847358;0,502380952380952;-0,0194308545335943;-4,02336693173952
"7";"10001018012P7";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,595238095238095;0,673913043478261;0,642857142857143;0,453125;0,591283320393375;0,563740079365079;0,0275432410282953;4,65821376628231
"8";"10001018016P2";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";0,490196078431373;0,481481481481481;0,612179487179487;0,451315789473684;0,508793209141506;0,517897118361515;-0,00910390922000837;-1,78931421576352
"9";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,711111111111111;0,672727272727273;0,560164835164835;0,436858974358974;0,595215548340548;0,569378306878307;0,0258372414622415;4,3408209906941
"10";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,411764705882353;0,191176470588235;0,386363636363636;0,451388888888889;0,360173425430778;0,416505743711626;-0,0563323182808476;-15,6403316578597
"11";"11001011006P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";0,733333333333333;0,85;0,583333333333333;0,430952380952381;0,649404761904762;0,582539682539683;0,0668650793650792;10,2963641918729
"12";"11001011070P0";"MEDICINA II";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";0,698412698412698;0,3875;0,992647058823529;0,425;0,625889939309057;0,705353252412076;-0,0794633131030189;-12,6960521510765
"13";"12001015001P0";"EDUCAÇÃO";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";0,431372549019608;0,214285714285714;0,518465909090909;0,426136363636364;0,397565134008149;0,458658273915627;-0,0610931399074781;-15,3668253781595
"14";"12001015002P7";"QUÍMICA";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";0,25;0,158730158730159;0,470592948717949;0,416666666666667;0,323997443528694;0,379086538461539;-0,055089094932845;-17,0029412370861
"15";"12001015003P3";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";0,422222222222222;0,333333333333333;0,45093201754386;0,571296296296296;0,444445967348928;0,481483512020793;-0,0370375446718649;-8,33341899641702
"16";"12001015006P2";"ASTRONOMIA / FÍSICA";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";0,444444444444444;0,2;0,479166666666667;0,465277777777778;0,397222222222222;0,462962962962963;-0,0657407407407407;-16,5501165501165
"17";"12001015007P9";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";0,777777777777778;0,435185185185185;0,51468253968254;0,529464285714286;0,564277447089947;0,607308201058201;-0,0430307539682541;-7,62581495861111
"18";"12001015008P5";"GEOCIÊNCIAS";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";0,4;0,575757575757576;0,575980392156863;0,438095238095238;0,497458301502419;0,471358543417367;0,0260997580850523;5,24662228094817
"19";"12001015012P2";"CIÊNCIA DA COMPUTAÇÃO";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";0,346153846153846;0,195238095238095;0,525900900900901;0,394230769230769;0,365380902880903;0,422095172095172;-0,0567142692142692;-15,5219577069017
"20";"12001015013P9";"BIOTECNOLOGIA";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";0,567901234567901;0,278947368421053;0,494685039370079;0,427380952380952;0,442228648684996;0,496655742106311;-0,0544270934213145;-12,3074553363194
"21";"12001015014P5";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"3";0,58974358974359;0,289256198347107;0,515911872705018;0,489316239316239;0,471056975027989;0,531657233921616;-0,0606002588936271;-12,864740807633
"22";"12001015015P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";0,25;0,558823529411765;0,557575757575758;0,5890625;0,488865446746881;0,465546085858586;0,0233193608882947;4,7700979980221
"23";"12001015016P8";"CIÊNCIAS AGRÁRIAS I";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";0,583333333333333;0,627906976744186;0,485745614035088;0,485087719298246;0,545518410852713;0,518055555555556;0,0274628552971575;5,034267359415
"24";"12001015018P0";"INTERDISCIPLINAR";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,722222222222222;0,447368421052632;0,666666666666667;0,563541666666667;0,599949744152047;0,650810185185185;-0,0508604410331384;-8,47745024127365
"25";"12001015021P1";"ENGENHARIAS IV";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";0,333333333333333;0,576271186440678;0,439153439153439;0,292708333333333;0,410366573065196;0,355065035273369;0,0553015377918273;13,4761312011253
"26";"12001015022P8";"ENGENHARIAS I";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,625;0,472727272727273;0,444444444444444;0,378787878787879;0,480239898989899;0,482744107744108;-0,00250420875420876;-0,521449542088428
"27";"12001015023P4";"HISTÓRIA";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";0,3125;0,2;0,533571428571429;0,462083333333333;0,37703869047619;0,436051587301587;-0,0590128968253968;-15,6516819933957
"28";"12001015024P0";"SOCIOLOGIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,452380952380952;0,459459459459459;0,586805555555556;0,447685185185185;0,486582788145288;0,495623897707231;-0,00904110956194287;-1,85808248508028
"29";"12001015025P7";"ZOOTECNIA / RECURSOS PESQUEIROS";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,511111111111111;0,394736842105263;0,681372549019608;0,506349206349206;0,523392427146297;0,566277622159975;-0,042885195013678;-8,19369803409305
"30";"12001015026P3";"GEOGRAFIA";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";0,333333333333333;0,38961038961039;0,531746031746032;0,441228070175439;0,423979456216298;0,435435811751601;-0,0114563555353029;-2,70210156820861
"31";"12001015027P0";"SERVIÇO SOCIAL";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";0,538461538461538;0,71875;0,446924603174603;0,638690476190476;0,585706654456654;0,541358872608873;0,0443477818477819;7,57167116172211
"32";"12001015029P2";"ANTROPOLOGIA / ARQUEOLOGIA";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";0,479166666666667;0,46;0,66;0,508333333333333;0,526875;0,549166666666667;-0,0222916666666667;-4,23092131277186
"33";"12001015032P3";"COMUNICAÇÃO E INFORMAÇÃO";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";0,729166666666667;0,756756756756757;0,523684210526316;0,561904761904762;0,642878098963625;0,604918546365915;0,0379595525977107;5,90462681166223
"34";"12001015033P0";"FARMÁCIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,729166666666667;0,578947368421053;0,483333333333333;0,465196078431373;0,564160861713106;0,559232026143791;0,00492883556931545;0,873657834814836
"35";"12001015034P6";"CIÊNCIAS BIOLÓGICAS III";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";0,62962962962963;0,386363636363636;0,491143317230274;0,510353535353535;0,504372529644269;0,54370882740448;-0,0393362977602109;-7,79905634193729
"36";"12001015035P2";"MATERIAIS";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,607843137254902;0,590361445783133;0,486742424242424;0,413157894736842;0,524526225504325;0,502581152078056;0,0219450734262691;4,1837895531666
"37";"12001015036P9";"PSICOLOGIA";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";0,388888888888889;0,491525423728814;0,573717948717949;0,396666666666667;0,462699732000579;0,453091168091168;0,00960856390941139;2,07663053269271
"38";"12001015037P5";"LETRAS / LINGUÍSTICA";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";0,416666666666667;0,381818181818182;1;0,467283950617284;0,566442199775533;0,62798353909465;-0,0615413393191171;-10,8645399907536
"39";"12001015039P8";"MEDICINA II";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";0,805555555555555;0,692307692307692;0,977272727272727;0,620833333333333;0,773992327117327;0,801220538720539;-0,0272282116032115;-3,51789167014366
"40";"12001015040P6";"ODONTOLOGIA";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,523809523809524;0,78125;0,495833333333333;0,403070175438596;0,550990758145363;0,474237677527151;0,0767530806182121;13,9300123429589
"41";"12001015041P2";"CIÊNCIAS AMBIENTAIS";"FEDERAL";"PÚBLICA";2012;"ACADÊMICO";"3";0,619047619047619;0,806451612903226;0,546328671328671;0,500333333333333;0,618040309153212;0,555236541236541;0,0628037679166712;10,1617591905485
